,Date,Language,Ratings,Index,Year,Rank
79,2011-02-01,Abap,0.61,PYPL,2011,16.0
91,2012-02-01,Abap,0.72,PYPL,2012,15.0
103,2013-02-01,Abap,0.6,PYPL,2013,17.0
115,2014-02-01,Abap,0.6,PYPL,2014,17.0
127,2015-02-01,Abap,0.54,PYPL,2015,18.0
139,2016-02-01,Abap,0.47000000000000003,PYPL,2016,18.0
151,2017-02-01,Abap,0.48,PYPL,2017,19.0
163,2018-02-01,Abap,0.49,PYPL,2018,18.0
175,2019-02-01,Abap,0.49,PYPL,2019,19.0
187,2020-02-01,Abap,0.51,PYPL,2020,21.0
199,2021-02-01,Abap,0.37,PYPL,2021,21.0
211,2022-02-01,Abap,0.43,PYPL,2022,22.0
223,2023-02-01,Abap,0.45999999999999996,PYPL,2023,23.0
235,2024-02-01,Abap,0.5700000000000001,PYPL,2024,21.0
315,2011-02-01,Ada,0.25,PYPL,2011,21.0
327,2012-02-01,Ada,0.22,PYPL,2012,22.0
339,2013-02-01,Ada,0.27999999999999997,PYPL,2013,22.0
351,2014-02-01,Ada,0.22,PYPL,2014,21.0
363,2015-02-01,Ada,0.33999999999999997,PYPL,2015,21.0
375,2016-02-01,Ada,0.33999999999999997,PYPL,2016,20.0
387,2017-02-01,Ada,0.51,PYPL,2017,18.0
399,2018-02-01,Ada,0.36,PYPL,2018,20.0
411,2019-02-01,Ada,0.37,PYPL,2019,22.0
423,2020-02-01,Ada,0.32,PYPL,2020,25.0
435,2021-02-01,Ada,0.76,PYPL,2021,17.0
447,2022-02-01,Ada,0.64,PYPL,2022,18.0
459,2023-02-01,Ada,0.89,PYPL,2023,17.0
471,2024-02-01,Ada,1.08,PYPL,2024,15.0
551,2011-02-01,C/C++,12.46,PYPL,2011,3.0
563,2012-02-01,C/C++,11.39,PYPL,2012,3.0
575,2013-02-01,C/C++,8.61,PYPL,2013,5.0
587,2014-02-01,C/C++,8.129999999999999,PYPL,2014,5.0
599,2015-02-01,C/C++,7.969999999999999,PYPL,2015,5.0
611,2016-02-01,C/C++,7.8,PYPL,2016,5.0
623,2017-02-01,C/C++,7.57,PYPL,2017,6.0
635,2018-02-01,C/C++,6.41,PYPL,2018,6.0
647,2019-02-01,C/C++,6.1,PYPL,2019,6.0
659,2020-02-01,C/C++,5.86,PYPL,2020,6.0
671,2021-02-01,C/C++,6.47,PYPL,2021,5.0
683,2022-02-01,C/C++,7.489999999999999,PYPL,2022,4.0
695,2023-02-01,C/C++,6.81,PYPL,2023,5.0
707,2024-02-01,C/C++,6.92,PYPL,2024,4.0
787,2011-02-01,C#,6.41,PYPL,2011,6.0
799,2012-02-01,C#,6.77,PYPL,2012,6.0
811,2013-02-01,C#,9.48,PYPL,2013,3.0
823,2014-02-01,C#,9.6,PYPL,2014,4.0
835,2015-02-01,C#,9.25,PYPL,2015,4.0
847,2016-02-01,C#,8.99,PYPL,2016,4.0
859,2017-02-01,C#,8.459999999999999,PYPL,2017,4.0
871,2018-02-01,C#,7.829999999999999,PYPL,2018,5.0
883,2019-02-01,C#,7.4399999999999995,PYPL,2019,4.0
895,2020-02-01,C#,7.199999999999999,PYPL,2020,4.0
907,2021-02-01,C#,6.72,PYPL,2021,4.0
919,2022-02-01,C#,7.46,PYPL,2022,5.0
931,2023-02-01,C#,6.88,PYPL,2023,4.0
943,2024-02-01,C#,6.7299999999999995,PYPL,2024,5.0
1023,2011-02-01,Cobol,0.43,PYPL,2011,18.0
1035,2012-02-01,Cobol,0.36,PYPL,2012,20.0
1047,2013-02-01,Cobol,0.31,PYPL,2013,21.0
1059,2014-02-01,Cobol,0.36,PYPL,2014,19.0
1071,2015-02-01,Cobol,0.32,PYPL,2015,22.0
1083,2016-02-01,Cobol,0.29,PYPL,2016,22.0
1095,2017-02-01,Cobol,0.27999999999999997,PYPL,2017,26.0
1107,2018-02-01,Cobol,0.29,PYPL,2018,22.0
1119,2019-02-01,Cobol,0.29,PYPL,2019,25.0
1131,2020-02-01,Cobol,0.27999999999999997,PYPL,2020,27.0
1143,2021-02-01,Cobol,0.32,PYPL,2021,22.0
1155,2022-02-01,Cobol,0.2,PYPL,2022,27.0
1167,2023-02-01,Cobol,0.35000000000000003,PYPL,2023,26.0
1179,2024-02-01,Cobol,0.22,PYPL,2024,26.0
1259,2011-02-01,Dart,0.01,PYPL,2011,24.0
1271,2012-02-01,Dart,0.09,PYPL,2012,23.0
1283,2013-02-01,Dart,0.08,PYPL,2013,24.0
1295,2014-02-01,Dart,0.16,PYPL,2014,23.0
1307,2015-02-01,Dart,0.15,PYPL,2015,25.0
1319,2016-02-01,Dart,0.12,PYPL,2016,25.0
1331,2017-02-01,Dart,0.12,PYPL,2017,28.0
1343,2018-02-01,Dart,0.08,PYPL,2018,25.0
1355,2019-02-01,Dart,0.18,PYPL,2019,27.0
1367,2020-02-01,Dart,0.49,PYPL,2020,22.0
1379,2021-02-01,Dart,0.5599999999999999,PYPL,2021,19.0
1391,2022-02-01,Dart,0.5,PYPL,2022,21.0
1403,2023-02-01,Dart,0.8099999999999999,PYPL,2023,19.0
1415,2024-02-01,Dart,0.98,PYPL,2024,16.0
1495,2011-02-01,Delphi/Pascal,1.1400000000000001,PYPL,2011,14.0
1507,2012-02-01,Delphi/Pascal,0.95,PYPL,2012,14.0
1519,2013-02-01,Delphi/Pascal,0.8099999999999999,PYPL,2013,14.0
1531,2014-02-01,Delphi/Pascal,0.69,PYPL,2014,15.0
1543,2015-02-01,Delphi/Pascal,0.58,PYPL,2015,17.0
1555,2016-02-01,Delphi/Pascal,0.47000000000000003,PYPL,2016,18.0
1567,2017-02-01,Delphi/Pascal,0.35000000000000003,PYPL,2017,23.0
1579,2018-02-01,Delphi/Pascal,0.29,PYPL,2018,22.0
1591,2019-02-01,Delphi/Pascal,0.26,PYPL,2019,26.0
1603,2020-02-01,Delphi/Pascal,0.2,PYPL,2020,28.0
1615,2021-02-01,Delphi/Pascal,0.2,PYPL,2021,25.0
1627,2022-02-01,Delphi/Pascal,0.13,PYPL,2022,28.0
1639,2023-02-01,Delphi/Pascal,0.03,PYPL,2023,28.0
1651,2024-02-01,Delphi/Pascal,0.19,PYPL,2024,27.0
1731,2011-02-01,Go,0.03,PYPL,2011,23.0
1743,2012-02-01,Go,0.03,PYPL,2012,25.0
1755,2013-02-01,Go,0.08,PYPL,2013,24.0
1767,2014-02-01,Go,0.1,PYPL,2014,24.0
1779,2015-02-01,Go,0.22999999999999998,PYPL,2015,23.0
1791,2016-02-01,Go,0.29,PYPL,2016,22.0
1803,2017-02-01,Go,0.44,PYPL,2017,22.0
1815,2018-02-01,Go,0.8099999999999999,PYPL,2018,16.0
1827,2019-02-01,Go,1.02,PYPL,2019,16.0
1839,2020-02-01,Go,1.39,PYPL,2020,13.0
1851,2021-02-01,Go,1.25,PYPL,2021,12.0
1863,2022-02-01,Go,1.22,PYPL,2022,13.0
1875,2023-02-01,Go,1.91,PYPL,2023,12.0
1887,2024-02-01,Go,2.04,PYPL,2024,12.0
1967,2011-02-01,Groovy,0.29,PYPL,2011,20.0
1979,2012-02-01,Groovy,0.37,PYPL,2012,19.0
1991,2013-02-01,Groovy,0.33999999999999997,PYPL,2013,19.0
2003,2014-02-01,Groovy,0.42,PYPL,2014,18.0
2015,2015-02-01,Groovy,0.45999999999999996,PYPL,2015,20.0
2027,2016-02-01,Groovy,0.37,PYPL,2016,19.0
2039,2017-02-01,Groovy,0.44999999999999996,PYPL,2017,21.0
2051,2018-02-01,Groovy,0.51,PYPL,2018,17.0
2063,2019-02-01,Groovy,0.41000000000000003,PYPL,2019,21.0
2075,2020-02-01,Groovy,0.48,PYPL,2020,23.0
2087,2021-02-01,Groovy,0.3,PYPL,2021,23.0
2099,2022-02-01,Groovy,0.38,PYPL,2022,23.0
2111,2023-02-01,Groovy,0.36,PYPL,2023,25.0
2123,2024-02-01,Groovy,0.33,PYPL,2024,24.0
2203,2011-02-01,Haskell,0.33999999999999997,PYPL,2011,19.0
2215,2012-02-01,Haskell,0.27999999999999997,PYPL,2012,21.0
2227,2013-02-01,Haskell,0.33,PYPL,2013,20.0
2239,2014-02-01,Haskell,0.35000000000000003,PYPL,2014,20.0
2251,2015-02-01,Haskell,0.33999999999999997,PYPL,2015,21.0
2263,2016-02-01,Haskell,0.32,PYPL,2016,21.0
2275,2017-02-01,Haskell,0.33,PYPL,2017,24.0
2287,2018-02-01,Haskell,0.27999999999999997,PYPL,2018,23.0
2299,2019-02-01,Haskell,0.29,PYPL,2019,25.0
2311,2020-02-01,Haskell,0.32,PYPL,2020,25.0
2323,2021-02-01,Haskell,0.24,PYPL,2021,24.0
2335,2022-02-01,Haskell,0.24,PYPL,2022,26.0
2347,2023-02-01,Haskell,0.33,PYPL,2023,27.0
2359,2024-02-01,Haskell,0.26,PYPL,2024,25.0
2439,2011-02-01,Java,28.23,PYPL,2011,1.0
2451,2012-02-01,Java,27.33,PYPL,2012,1.0
2463,2013-02-01,Java,26.68,PYPL,2013,1.0
2475,2014-02-01,Java,26.08,PYPL,2014,1.0
2487,2015-02-01,Java,25.31,PYPL,2015,1.0
2499,2016-02-01,Java,24.87,PYPL,2016,1.0
2511,2017-02-01,Java,22.53,PYPL,2017,1.0
2523,2018-02-01,Java,21.78,PYPL,2018,1.0
2535,2019-02-01,Java,20.79,PYPL,2019,2.0
2547,2020-02-01,Java,18.25,PYPL,2020,2.0
2559,2021-02-01,Java,16.74,PYPL,2021,2.0
2571,2022-02-01,Java,18.08,PYPL,2022,2.0
2583,2023-02-01,Java,16.509999999999998,PYPL,2023,2.0
2595,2024-02-01,Java,15.52,PYPL,2024,2.0
2675,2011-02-01,JavaScript,6.93,PYPL,2011,4.0
2687,2012-02-01,JavaScript,7.22,PYPL,2012,5.0
2699,2013-02-01,JavaScript,7.02,PYPL,2013,6.0
2711,2014-02-01,JavaScript,7.340000000000001,PYPL,2014,6.0
2723,2015-02-01,JavaScript,7.33,PYPL,2015,6.0
2735,2016-02-01,JavaScript,7.6,PYPL,2016,6.0
2747,2017-02-01,JavaScript,8.03,PYPL,2017,5.0
2759,2018-02-01,JavaScript,8.200000000000001,PYPL,2018,4.0
2771,2019-02-01,JavaScript,8.1,PYPL,2019,3.0
2783,2020-02-01,JavaScript,7.9,PYPL,2020,3.0
2795,2021-02-01,JavaScript,8.48,PYPL,2021,3.0
2807,2022-02-01,JavaScript,9.030000000000001,PYPL,2022,3.0
2819,2023-02-01,JavaScript,9.6,PYPL,2023,3.0
2831,2024-02-01,JavaScript,8.57,PYPL,2024,3.0
2911,2011-02-01,Julia,0.0,PYPL,2011,25.0
2923,2012-02-01,Julia,0.02,PYPL,2012,26.0
2935,2013-02-01,Julia,0.1,PYPL,2013,23.0
2947,2014-02-01,Julia,0.18,PYPL,2014,22.0
2959,2015-02-01,Julia,0.19,PYPL,2015,24.0
2971,2016-02-01,Julia,0.2,PYPL,2016,24.0
2983,2017-02-01,Julia,0.22999999999999998,PYPL,2017,27.0
2995,2018-02-01,Julia,0.16999999999999998,PYPL,2018,24.0
3007,2019-02-01,Julia,0.33999999999999997,PYPL,2019,23.0
3019,2020-02-01,Julia,0.33999999999999997,PYPL,2020,24.0
3031,2021-02-01,Julia,0.53,PYPL,2021,20.0
3043,2022-02-01,Julia,0.2,PYPL,2022,27.0
3055,2023-02-01,Julia,0.42,PYPL,2023,24.0
3067,2024-02-01,Julia,0.5599999999999999,PYPL,2024,22.0
3147,2011-02-01,Kotlin,0.0,PYPL,2011,25.0
3159,2012-02-01,Kotlin,0.02,PYPL,2012,26.0
3171,2013-02-01,Kotlin,0.03,PYPL,2013,26.0
3183,2014-02-01,Kotlin,0.01,PYPL,2014,27.0
3195,2015-02-01,Kotlin,0.0,PYPL,2015,27.0
3207,2016-02-01,Kotlin,0.0,PYPL,2016,26.0
3219,2017-02-01,Kotlin,0.09,PYPL,2017,29.0
3231,2018-02-01,Kotlin,0.8099999999999999,PYPL,2018,16.0
3243,2019-02-01,Kotlin,1.09,PYPL,2019,15.0
3255,2020-02-01,Kotlin,1.47,PYPL,2020,12.0
3267,2021-02-01,Kotlin,1.6400000000000001,PYPL,2021,11.0
3279,2022-02-01,Kotlin,1.6500000000000001,PYPL,2022,12.0
3291,2023-02-01,Kotlin,1.87,PYPL,2023,13.0
3303,2024-02-01,Kotlin,1.7500000000000002,PYPL,2024,13.0
3383,2011-02-01,Lua,0.47000000000000003,PYPL,2011,17.0
3395,2012-02-01,Lua,0.49,PYPL,2012,17.0
3407,2013-02-01,Lua,0.72,PYPL,2013,16.0
3419,2014-02-01,Lua,0.61,PYPL,2014,16.0
3431,2015-02-01,Lua,0.53,PYPL,2015,19.0
3443,2016-02-01,Lua,0.51,PYPL,2016,17.0
3455,2017-02-01,Lua,0.47000000000000003,PYPL,2017,20.0
3467,2018-02-01,Lua,0.4,PYPL,2018,19.0
3479,2019-02-01,Lua,0.3,PYPL,2019,24.0
3491,2020-02-01,Lua,0.31,PYPL,2020,26.0
3503,2021-02-01,Lua,0.58,PYPL,2021,18.0
3515,2022-02-01,Lua,0.36,PYPL,2022,24.0
3527,2023-02-01,Lua,0.58,PYPL,2023,22.0
3539,2024-02-01,Lua,0.8500000000000001,PYPL,2024,19.0
3619,2011-02-01,Matlab,3.36,PYPL,2011,8.0
3631,2012-02-01,Matlab,3.0700000000000003,PYPL,2012,9.0
3643,2013-02-01,Matlab,3.05,PYPL,2013,9.0
3655,2014-02-01,Matlab,3.05,PYPL,2014,8.0
3667,2015-02-01,Matlab,3.0700000000000003,PYPL,2015,8.0
3679,2016-02-01,Matlab,2.94,PYPL,2016,10.0
3691,2017-02-01,Matlab,2.75,PYPL,2017,10.0
3703,2018-02-01,Matlab,2.2800000000000002,PYPL,2018,10.0
3715,2019-02-01,Matlab,1.95,PYPL,2019,10.0
3727,2020-02-01,Matlab,1.73,PYPL,2020,11.0
3739,2021-02-01,Matlab,1.71,PYPL,2021,10.0
3751,2022-02-01,Matlab,1.77,PYPL,2022,11.0
3763,2023-02-01,Matlab,1.71,PYPL,2023,14.0
3775,2024-02-01,Matlab,1.6400000000000001,PYPL,2024,14.0
3855,2011-02-01,Objective-C,1.3,PYPL,2011,12.0
3867,2012-02-01,Objective-C,3.6900000000000004,PYPL,2012,8.0
3879,2013-02-01,Objective-C,5.13,PYPL,2013,7.0
3891,2014-02-01,Objective-C,6.619999999999999,PYPL,2014,7.0
3903,2015-02-01,Objective-C,6.18,PYPL,2015,7.0
3915,2016-02-01,Objective-C,5.56,PYPL,2016,7.0
3927,2017-02-01,Objective-C,5.0,PYPL,2017,7.0
3939,2018-02-01,Objective-C,3.7900000000000005,PYPL,2018,8.0
3951,2019-02-01,Objective-C,3.01,PYPL,2019,8.0
3963,2020-02-01,Objective-C,2.44,PYPL,2020,8.0
3975,2021-02-01,Objective-C,3.56,PYPL,2021,8.0
3987,2022-02-01,Objective-C,2.3,PYPL,2022,8.0
3999,2023-02-01,Objective-C,2.25,PYPL,2023,10.0
4011,2024-02-01,Objective-C,2.37,PYPL,2024,10.0
4091,2011-02-01,Perl,2.67,PYPL,2011,9.0
4103,2012-02-01,Perl,2.29,PYPL,2012,11.0
4115,2013-02-01,Perl,1.9900000000000002,PYPL,2013,11.0
4127,2014-02-01,Perl,1.5,PYPL,2014,13.0
4139,2015-02-01,Perl,1.38,PYPL,2015,14.0
4151,2016-02-01,Perl,1.17,PYPL,2016,14.0
4163,2017-02-01,Perl,0.9199999999999999,PYPL,2017,16.0
4175,2018-02-01,Perl,0.86,PYPL,2018,15.0
4187,2019-02-01,Perl,0.5499999999999999,PYPL,2019,18.0
4199,2020-02-01,Perl,0.64,PYPL,2020,20.0
4211,2021-02-01,Perl,0.3,PYPL,2021,23.0
4223,2022-02-01,Perl,0.29,PYPL,2022,25.0
4235,2023-02-01,Perl,0.36,PYPL,2023,25.0
4247,2024-02-01,Perl,0.33,PYPL,2024,24.0
4327,2011-02-01,PHP,16.23,PYPL,2011,2.0
4339,2012-02-01,PHP,15.540000000000001,PYPL,2012,2.0
4351,2013-02-01,PHP,14.27,PYPL,2013,2.0
4363,2014-02-01,PHP,13.01,PYPL,2014,2.0
4375,2015-02-01,PHP,11.74,PYPL,2015,2.0
4387,2016-02-01,PHP,11.020000000000001,PYPL,2016,3.0
4399,2017-02-01,PHP,9.969999999999999,PYPL,2017,3.0
4411,2018-02-01,PHP,8.219999999999999,PYPL,2018,3.0
4423,2019-02-01,PHP,7.17,PYPL,2019,5.0
4435,2020-02-01,PHP,6.18,PYPL,2020,5.0
4447,2021-02-01,PHP,6.1,PYPL,2021,6.0
4459,2022-02-01,PHP,5.970000000000001,PYPL,2022,6.0
4471,2023-02-01,PHP,5.17,PYPL,2023,6.0
4483,2024-02-01,PHP,4.569999999999999,PYPL,2024,7.0
4563,2011-02-01,Powershell,0.7000000000000001,PYPL,2011,15.0
4575,2012-02-01,Powershell,0.69,PYPL,2012,16.0
4587,2013-02-01,Powershell,0.7799999999999999,PYPL,2013,15.0
4599,2014-02-01,Powershell,0.73,PYPL,2014,14.0
4611,2015-02-01,Powershell,0.76,PYPL,2015,15.0
4623,2016-02-01,Powershell,0.66,PYPL,2016,16.0
4635,2017-02-01,Powershell,0.7799999999999999,PYPL,2017,17.0
4647,2018-02-01,Powershell,0.9299999999999999,PYPL,2018,14.0
4659,2019-02-01,Powershell,0.88,PYPL,2019,17.0
4671,2020-02-01,Powershell,1.18,PYPL,2020,16.0
4683,2021-02-01,Powershell,1.04,PYPL,2021,15.0
4695,2022-02-01,Powershell,0.9199999999999999,PYPL,2022,16.0
4707,2023-02-01,Powershell,0.88,PYPL,2023,18.0
4719,2024-02-01,Powershell,0.9400000000000001,PYPL,2024,17.0
4799,2011-02-01,Python,6.87,PYPL,2011,5.0
4811,2012-02-01,Python,7.82,PYPL,2012,4.0
4823,2013-02-01,Python,8.790000000000001,PYPL,2013,4.0
4835,2014-02-01,Python,9.959999999999999,PYPL,2014,3.0
4847,2015-02-01,Python,10.76,PYPL,2015,3.0
4859,2016-02-01,Python,12.25,PYPL,2016,2.0
4871,2017-02-01,Python,15.57,PYPL,2017,2.0
4883,2018-02-01,Python,20.57,PYPL,2018,2.0
4895,2019-02-01,Python,25.52,PYPL,2019,1.0
4907,2020-02-01,Python,29.28,PYPL,2020,1.0
4919,2021-02-01,Python,29.970000000000002,PYPL,2021,1.0
4931,2022-02-01,Python,28.38,PYPL,2022,1.0
4943,2023-02-01,Python,27.54,PYPL,2023,1.0
4955,2024-02-01,Python,28.110000000000003,PYPL,2024,1.0
5035,2011-02-01,R,1.28,PYPL,2011,13.0
5047,2012-02-01,R,1.49,PYPL,2012,13.0
5059,2013-02-01,R,1.87,PYPL,2013,12.0
5071,2014-02-01,R,2.17,PYPL,2014,11.0
5083,2015-02-01,R,2.67,PYPL,2015,9.0
5095,2016-02-01,R,3.06,PYPL,2016,9.0
5107,2017-02-01,R,3.61,PYPL,2017,8.0
5119,2018-02-01,R,4.15,PYPL,2018,7.0
5131,2019-02-01,R,3.94,PYPL,2019,7.0
5143,2020-02-01,R,3.75,PYPL,2020,7.0
5155,2021-02-01,R,3.84,PYPL,2021,7.0
5167,2022-02-01,R,4.25,PYPL,2022,7.0
5179,2023-02-01,R,4.09,PYPL,2023,7.0
5191,2024-02-01,R,4.75,PYPL,2024,6.0
5271,2011-02-01,Ruby,2.55,PYPL,2011,10.0
5283,2012-02-01,Ruby,2.44,PYPL,2012,10.0
5295,2013-02-01,Ruby,2.74,PYPL,2013,10.0
5307,2014-02-01,Ruby,2.59,PYPL,2014,10.0
5319,2015-02-01,Ruby,2.5100000000000002,PYPL,2015,10.0
5331,2016-02-01,Ruby,2.46,PYPL,2016,11.0
5343,2017-02-01,Ruby,2.1399999999999997,PYPL,2017,11.0
5355,2018-02-01,Ruby,1.67,PYPL,2018,11.0
5367,2019-02-01,Ruby,1.5,PYPL,2019,12.0
5379,2020-02-01,Ruby,1.3299999999999998,PYPL,2020,15.0
5391,2021-02-01,Ruby,1.05,PYPL,2021,14.0
