Count,Language,Province,Country,City
96000,Python,,Pakistan,
86000,Java,,Pakistan,
130000,JavaScript,,Pakistan,
110000,C++,,Pakistan,
60000,C#,,Pakistan,
32000,ASP.NET,,Pakistan,
25000,Python,Sindh,Pakistan,
43000,Python,Punjab,Pakistan,
4000,Python,KPK,Pakistan,
1000,Python,Balochistan,Pakistan,
23000,,Punjab,Pakistan,Lahore
17000,,Sindh,Pakistan,Karachi
16000,,,Pakistan,Islamabad
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
FAST,8100,Python,,
LUMS,1900,Python,,
PU,3800,Python,,
NUST,5800,Python,,
GIKI,1000,Python,,
COMSATS,4200,Python,,
Karachi University,2800,Python,,
IUB,1600,Python,,
FC,1000,Python,,
UET,3500,Python,,
UoG,700,Python,,
NED,4500,Python,,
U Peshawar,600,Python,,
IIU,1000,Python,,
